gen,ind,indType,sendType,strategy,alphaBeta,fitness
0,0,Sender,2,1,0,0
0,1,Sender,2,1,0,0
0,2,Sender,2,1,0,0
0,3,Sender,1,1,0,0.5
0,4,Sender,2,1,0,0
0,5,Sender,2,1,0,0
0,6,Sender,2,1,0,0
0,7,Sender,2,1,0,0
0,8,Sender,1,1,0,0.5
0,9,Sender,1,1,0,0.5
0,10,Sender,1,1,0,0.5
0,11,Sender,2,1,0,0
0,12,Sender,2,1,0,0
0,13,Sender,2,1,0,0
0,14,Sender,2,1,0,0
0,15,Sender,2,1,0,0
0,16,Sender,2,1,0,0
0,17,Sender,1,1,0,0.5
0,18,Sender,2,1,0,0
0,19,Sender,2,1,0,0
0,20,Sender,2,1,0,0
0,21,Sender,2,1,0,0
0,22,Sender,2,1,0,0
0,23,Sender,2,1,0,0
0,24,Sender,2,1,0,0
0,25,Sender,1,1,0,0.5
0,26,Sender,2,1,0,0
0,27,Sender,2,1,0,0
0,28,Sender,1,1,0,0.5
0,29,Sender,2,1,0,0
0,30,Sender,2,1,0,0
0,31,Sender,2,1,0,0
0,32,Sender,2,1,0,0
0,33,Sender,2,1,0,0
0,34,Sender,2,1,0,0
0,35,Sender,2,1,0,0
0,36,Sender,2,1,0,0
0,37,Sender,2,1,0,0
0,38,Sender,2,1,0,0
0,39,Sender,2,1,0,0
0,40,Sender,1,1,0,0.5
0,41,Sender,2,1,0,0
0,42,Sender,2,1,0,0
0,43,Sender,2,1,0,0
0,44,Sender,2,1,0,0
0,45,Sender,2,1,0,0
0,46,Sender,2,1,0,0
0,47,Sender,2,1,0,0
0,48,Sender,2,1,0,0
0,49,Sender,2,1,0,0
0,50,Sender,1,1,0,0.5
0,51,Sender,1,1,0,0.5
0,52,Sender,2,1,0,0
0,53,Sender,2,1,0,0
0,54,Sender,2,1,0,0
0,55,Sender,1,1,0,0.5
0,56,Sender,2,1,0,0
0,57,Sender,2,1,0,0
0,58,Sender,2,1,0,0
0,59,Sender,1,1,0,0.5
0,60,Sender,2,1,0,0
0,61,Sender,2,1,0,0
0,62,Sender,2,1,0,0
0,63,Sender,2,1,0,0
0,64,Sender,2,1,0,0
0,65,Sender,2,1,0,0
0,66,Sender,2,1,0,0
0,67,Sender,2,1,0,0
0,68,Sender,1,1,0,0.5
0,69,Sender,2,1,0,0
0,70,Sender,1,1,0,0.5
0,71,Sender,2,1,0,0
0,72,Sender,1,1,0,0.5
0,73,Sender,2,1,0,0
0,74,Sender,2,1,0,0
0,75,Sender,1,1,0,0.5
0,76,Sender,1,1,0,0.5
0,77,Sender,2,1,0,0
0,78,Sender,2,1,0,0
0,79,Sender,2,1,0,0
0,80,Sender,1,1,0,0.5
0,81,Sender,2,1,0,0
0,82,Sender,1,1,0,0.5
0,83,Sender,2,1,0,0
0,84,Sender,2,1,0,0
